základní sada testů pro: datum od 1.1.1900 - 31.1.3000

formát: DD/MM/YYYY

Pozitivní testy:
1.1.1999		1/1/1999		1-1-1999
31.12.2000		31/12/2000		31-12-2000
30.11.2000		30/11/2000		30-11-2000
29.2.2024		29/2/2024		29-2-2024
29.2.2000		29/2/2000		29-2-2000
28.2.1999		28/2/1999		28-2-1999
01.12.2000		01/12/2000		01-12-2000
1.01.2000		1/01/2000		1-01-2000
01.01.2000		01/01/2000		01-01-2000
20.1.2038		20/1/2038		20-1-2038
1.1.1970		1/1/1970		1-1-1970


Negativní testy:
0.1.1999		0/1/1999		0-1-1999
1.0.1999		1/0/1999		1-0-1999
1.1.0000		1/1/0000		1-1-0000
.2.2000		 /2/2000		-2-2000
2..2000		2/ /2000		2- -2000
2.2.			2/2/			2-2-
1.13.2000		1/13/2000		1-13-2000
32.1.2000		32/1/2000		32-1-2000
29.2.1999		29/2/1999		29-2-1999
30.2.2000		30/2/2000		30-2-2000
-1.12.1999		-1/12/1999		-1-12-1999
1.-1.1999		1/-1/1999		1- -1-1999
1.12.-1999		1/12/-1999		1-12- -1999
a.12.2000		a/12/1999		a-12-1999
2.@.2000		2/@/2000		2-@-2000
2.2.aaaa		2/2/aaaa		2-2-aaaa
111.1.2000		111/1/2000		111-1-2000
1.111.2000		1/111/2000		1-111-2000
1.1.20001		1/1/20001		1-1-20001
3,14.12.2000		3,14/12/2000		3,14-12-2000
1.3,14.2000		1 /3,14/2000		1-3,14-2000
1.1.3,14		1/1/3,14		1-1-3,14
